T1,T2,T3,T4,Q1,Q2,Q3,P1,P1Q,P2,P2Q,P3,P3Q
0,25,28074,11,1083265,0,0,439,48925,0,18,9001,280465
0,0,20577,14,811380,0,0,150,14592,0,118,5845,240937
0,11,21495,5,717822,0,0,359,74694,0,65,5107,182721
0,15,22225,5,782411,0,0,409,6929,0,58,7781,206465
0,10,27043,7,861209,0,0,560,99500,0,42,5868,212768
2,17,28201,5,920108,0,0,958,37996,0,94,8542,236571
0,0,19615,8,928824,0,0,154,25909,0,864,6145,214317
0,10,23353,8,1041157,0,0,138,12281,0,272,7169,239621
0,6,20855,5,1106888,0,0,97,11916,0,13,5769,293388
0,13,19812,4,917669,0,0,205,18522,0,213,7718,226430
0,36,23630,7,998477,0,0,212,12870,0,309,8861,239061
0,87,16512,2,895041,0,0,177,9590,0,37,5347,222807
0,23,19848,6,888049,0,0,160,31959,0,74,6874,239708
0,5,13349,9,919568,0,0,218,53545,0,505,5503,226392
0,9,20927,9,1229519,0,0,107,18173,0,1130,8071,304577
2,12,15403,8,632266,0,0,407,25142,0,13,4557,183645
0,5,23186,4,854713,0,0,394,13243,0,281,7335,202948
2,17,20845,9,1128663,0,0,174,6383,0,40,7613,265398
0,17,33384,11,1400835,0,4,289,18290,0,804,12515,444901
0,11,23447,15,1063926,0,0,208,76328,0,565,9893,329708
0,5,23022,7,1064522,0,0,138,10803,0,78,6684,319503
0,6,22094,2,983264,0,0,538,18001,0,42,7687,221964
2,24,27778,6,1297290,0,0,277,8713,0,480,9916,322213
0,13,26140,3,1397725,0,0,481,13921,0,213,9910,350989
0,15,43456,10,2010180,0,0,509,22999,0,519,14460,448418
0,5,21581,3,1379459,0,0,459,39081,0,470,7132,307164
0,9,25235,3,1331557,0,0,916,8396,0,354,8303,269482
0,7,19462,5,1138222,0,1,182,19882,0,150,6681,271517
1,27,24526,2,1299332,0,0,340,29336,0,354,7346,268657
0,6,17562,3,1003518,0,0,316,24871,0,14,7115,183104
0,1,15631,4,985541,0,0,117,16420,0,51,6258,217442
0,9,20301,2,1135760,0,0,320,21390,0,32,7835,255988
1,8,20110,6,1186667,0,0,419,28550,0,27,7255,240744
0,18,21195,8,1442838,0,0,469,24201,0,213,8025,375637
0,10,25682,3,1867786,0,0,386,29462,0,246,9760,490333
6,7,15425,5,1258332,0,0,97,11751,0,60,6194,370498
2,0,16029,1,1166609,0,0,218,12904,0,356,5503,359644
0,0,25405,7,1983212,0,0,279,23806,0,12883,7693,587584
0,20,21208,0,1411186,0,0,99,20467,0,294,7946,418698
0,7,24048,7,1660902,0,0,258,27768,0,34,6673,471940
0,33,18503,1,1289241,0,0,126,13129,0,4593,5774,369995
2,13,20188,8,1364569,0,0,188,11267,0,328,6575,401383
0,24,20927,6,1533532,0,0,209,27479,0,3192,5600,435197
0,11,26228,5,1637844,0,0,160,27932,0,299,7099,616182
