T1,T2,T3,T4,Q1,Q2,Q3,P1,P1Q,P2,P2Q,P3,P3Q
2,39995,215026,71,4365287,0,0,13386,367600,0,921,175908,2194936
3,36058,199733,73,3988230,0,0,15606,436838,0,872,160727,1869842
3,37605,235644,80,2677931,0,0,14544,371699,0,662,188689,3485146
1,51629,185714,86,4151110,0,0,8562,375817,0,1589,162659,2060699
4,32599,174783,69,2535323,0,0,7748,280693,0,24,139522,3116854
0,44100,233550,99,3303264,0,0,20182,435356,0,273,180264,4196421
6,34064,174623,72,2558935,0,0,8634,297709,0,935,140642,3212535
2,43516,244034,104,3136885,0,0,14483,384987,0,526,181528,3882032
1,36537,168824,74,3711554,0,0,10044,309318,0,1209,135814,2122370
4,62191,298346,178,5887585,0,0,22974,795956,0,2943,227282,2729026
9,33703,208157,70,2358051,0,0,12376,320294,0,1180,154166,2869472
4,25388,146680,47,1839427,0,0,6855,254924,0,37,101077,2185848
4,30482,158298,39,1937400,0,0,9229,300354,0,198,107676,2264758
8,58660,232198,43,4312044,0,0,8285,259995,0,1708,182189,1972133
2,37188,204945,31,2329087,0,0,11166,483477,0,4,152851,2816333
9,33135,218264,25,2349177,0,0,15802,299113,0,97,163686,2827721
3,23786,136883,31,2354110,0,0,6213,281973,0,58,97876,2715453
2,26401,161058,29,2591562,0,0,10606,417378,0,566,119710,2946815
2,27676,166638,48,3108113,0,0,8677,312108,0,643,128263,3638811
0,27416,145119,36,2343119,0,0,10510,322053,0,73,110920,2920647
2,22519,124473,34,1823808,0,0,4803,125097,0,119,97995,2334138
2,32609,177480,44,2310037,0,0,8363,365378,0,877,134420,2847096
2,27949,157221,50,2392783,0,0,8344,310299,0,155,126362,3174705
3,27312,162154,24,2143642,0,1,10373,369036,0,167,114664,2661414
0,30787,195153,46,2731552,0,0,13042,546913,0,90,141213,3381365
1,23436,117893,38,2116441,0,0,7917,359040,0,26,85364,2792337
0,26089,166341,57,3753961,0,0,11985,454758,0,411,132619,2365296
4,50259,178629,49,4141630,0,0,7177,309889,0,660,140774,2602337
4,32596,207204,72,3172127,0,0,10383,341782,0,1261,143367,3463491
2,28586,170199,57,3133438,0,0,10651,328439,0,229,126160,3558032
2,26445,156988,92,3077255,0,0,8150,304955,0,72,118329,3492414
2,30288,187375,73,2958818,0,0,9051,385288,0,582,138524,3440638
2,28652,173847,39,2852261,0,0,8284,310943,0,386,125910,3092777
0,24548,126461,35,2244055,0,0,7261,298515,0,235,89930,2563325
2,23010,122619,24,1846288,0,0,6789,234100,0,261,84006,2097355
6,25067,127331,34,2037144,0,0,7691,313726,0,687,93466,2182908
3,28041,154642,38,2657934,0,0,7819,289568,0,1896,117911,2914793
4,25698,126459,29,2240367,0,0,6171,276210,0,1338,93372,2507939
2,23519,136122,39,2537690,0,0,13014,573558,0,2141,105929,2769097
2,23379,149987,48,2570091,0,0,6564,260266,0,915,103047,2768132
10,22673,120574,27,2172820,0,0,7389,290957,0,514,83651,2392675
6,20850,119028,44,1827722,0,0,9845,300437,0,190,76090,2050555
10,27217,151465,22,3402449,0,0,7385,233632,0,7419,113566,1589033
4,25629,184007,42,2772716,0,0,13221,326369,0,2478,120040,2966899
2,31395,245817,87,3577612,0,0,13352,387880,0,7027,168931,3790719
