timestamp,open,high,low,close,volume
09/07/2020,164.66,167.45,164.6,167.17,12346200
08/07/2020,164.32,164.92,163.83,164.55,7253900
07/07/2020,163.42,165.34,163.2,165.21,12791900
06/07/2020,162.33,163.02,161.75,162.92,7972500
02/07/2020,162.7,163.74,162.24,163.59,7600644
01/07/2020,162.81,163.56,162.15,163.42,13181247
30/06/2020,165.23,165.29,163.48,163.93,14841678
29/06/2020,164.85,165.27,164.38,164.73,7274571
26/06/2020,164.25,165.32,164.18,165.25,12119310
25/06/2020,164.21,164.35,163.4,163.5,10967984
24/06/2020,161.53,163.09,161.52,163.03,11436501
23/06/2020,161.48,162.06,161.12,161.3,9088580
22/06/2020,163.19,163.4184,162.07,162.41,9319961
19/06/2020,161,162.5,160.91,162.39,8565778
18/06/2020,162.04,162.48,161.61,162.26,7691375
17/06/2020,160.27,160.77,159.34,160.56,7113900
16/06/2020,159.41,161.23,158.7,159.9,13701298
15/06/2020,163.89,164.22,162.14,162.39,7760836
12/06/2020,162.41,163.66,162.05,162.3,9716433
11/06/2020,163.245,164.23,162.63,163.88,17086373
10/06/2020,159.24,160.9,159.05,160.84,13135518
09/06/2020,159.05,159.64,158.3,158.49,9095265
08/06/2020,155.07,156.85,155.05,156.71,10346680
05/06/2020,154.61,156.16,153.16,156.11,17778549
04/06/2020,158.92,159.01,157.185,157.23,14038570
03/06/2020,160.18,160.33,158.94,159.54,12255736
02/06/2020,161.67,162.093,161.25,161.69,11517053
01/06/2020,162.1,162.44,161.67,162.28,13353301
29/05/2020,162.71,164.09,162.355,163.59,14662054
28/05/2020,161.96,162.57,161.66,162.43,10276172
27/05/2020,162.7922,163.91,162.59,163.03,8047360
26/05/2020,163.71,163.79,162.975,163.33,8098939
22/05/2020,164.72,165.68,164.61,165.55,4956814
21/05/2020,164.86,165.36,164.29,164.56,8876136
20/05/2020,163.17,164.7,162.88,164.15,10927274
19/05/2020,162.52,163.7,162.48,163.66,8639263
18/05/2020,164.93,165.055,162.42,163.05,10073986
15/05/2020,168.3,168.49,166.33,166.71,7225634
14/05/2020,167.32,168.15,167.05,167.14,10080361
13/05/2020,165.09,166.29,164.8272,165.52,13305576
12/05/2020,163.16,164.93,163.13,164.37,10057348
11/05/2020,163.66,164.22,162.095,162.7,8713747
08/05/2020,164.49,165.4,163.68,163.98,8130474
07/05/2020,163.56,166.37,163.34,166.14,9165455
06/05/2020,163.23,163.64,162.05,163.41,14721518
05/05/2020,165.57,166.27,165.27,166.09,7831916
04/05/2020,167.56,167.68,166.48,167.16,8300923
01/05/2020,167.5,168.11,166.44,167.95,10209421
30/04/2020,168.74,169.23,166.71,166.74,11606074
29/04/2020,169.53,170.26,167.96,168.71,8619566
28/04/2020,168.55,169.85,168.45,169.59,9905415
27/04/2020,169.66,169.75,167.44,167.66,9039484
24/04/2020,169.61,170.84,169.57,170.84,6211804
23/04/2020,169.87,170.93,169.605,170.44,5968584
22/04/2020,169.97,170.39,168.705,169.54,6230495
21/04/2020,171.93,172.15,170.78,171.29,7850725
20/04/2020,168.44,169.29,167.96,169.16,6462639
17/04/2020,169.82,170.84,167.27,167.81,8612119
16/04/2020,169.26,170.315,169.0156,170.09,8265414
15/04/2020,166.8,168.6,166.74,168.18,10027752
14/04/2020,163.84,164.74,163.48,163.84,9019531
13/04/2020,164.75,165.71,163.88,163.88,8750297
09/04/2020,164.28,165.79,163.78,165.39,14260806
08/04/2020,165.11,166.19,164.13,165.09,10147077
07/04/2020,164.96,166.42,163.71,166.3,13811848
06/04/2020,167,168.27,166.53,168.06,9434786
03/04/2020,168.55,170.33,168.14,168.5,6570840
02/04/2020,168.83,169.22,167.26,168.1,5771227
01/04/2020,168.48,168.96,166.4,167.04,11334698
31/03/2020,165.7,166.92,164.56,164.97,11464935
30/03/2020,168.3,170.11,165.94,166.32,13473205
27/03/2020,165.52,168.25,164.59,167.7,12550007
26/03/2020,163.995,165.68,162.27,163.34,10576587
25/03/2020,163.59,166.68,161.62,162.54,10750564
24/03/2020,161.25,165.45,160.41,162.91,11948557
23/03/2020,157.5,166.69,156.57,166,19971809
20/03/2020,153.3,159.43,152.11,159.43,20863060
19/03/2020,146.95,153.45,145.25,148.28,21175266
18/03/2020,152.84,154.14,139.0105,144.35,44628796
17/03/2020,163.5,165.63,152.71,152.98,18570872
16/03/2020,160.38,166.15,157.81,163.91,30496696
13/03/2020,155.1,158.2,152.19,153.94,19812859
12/03/2020,163.51,166.36,155.66,157.5,24361836
11/03/2020,165.43,167.03,155.63,156.53,29594066
10/03/2020,169.635,172.93,162.03,162.51,37728253
09/03/2020,179.1,179.7,170.34,171.29,41552819
06/03/2020,167.3,169.33,164.11,166.77,76288337
05/03/2020,157.13,158.82,156.81,158.52,17786220
04/03/2020,156.41,157.35,154.19,154.67,23463690
03/03/2020,153.81,159.7,152.36,156.33,38608024
02/03/2020,155.3,156.5,153.76,153.94,28152383
28/02/2020,154.45,155.9799,154.16,155.31,45010774
27/02/2020,152.7,153.08,150.83,151.88,30687929
26/02/2020,149.95,151.72,149.58,150.25,22599515
25/02/2020,150.21,151.7553,150.14,151.05,20802922
24/02/2020,150.83,150.96,150,150.25,15929281
21/02/2020,147.8,148.88,147.65,148.04,13861573
