# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Exchange tickers,,
T  Q,Z,P
T  Q,Z,P
T  Q,Z,D
T  Q,Z,P
T  Q,D,Z
T  Q,P,Z
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,P,Z
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,P,Z
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,P,Z
T  Q,Z,P
T  Q,P,Z
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,P,Z
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,P,Z
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,P,Z
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,P,Z
T  Q,P,Z
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,P,Z
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,P,Z
T  Q,P,Z
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,P,Z
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,P,Z
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,P,Z
T  Q,Z,P
Z,T  Q,P
T  Q,Z,P
T  Q,P,Z
T  Q,Z,P
T  Q,Z,P
T  Q,Z,D
T  Q,Z,D
T  Q,Z,P
T  Q,Z,D
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,P,Z
T  Q,P,Z
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,D
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,D
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,P,Z
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,P,Z
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,D
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
T  Q,P,Z
T  Q,P,Z
T  Q,P,Z
T  Q,P,Z
T  Q,P,Z
T  Q,Z,P
T  Q,P,Z
T  Q,P,Z
T  Q,Z,P
T  Q,P,Z
T  Q,Z,P
T  Q,P,Z
T  Q,P,Z
T  Q,Z,P
T  Q,P,Z
T  Q,Z,P
T  Q,P,Z
T  Q,Z,P
T  Q,P,Z
T  Q,Z,P
T  Q,P,Z
T  Q,P,Z
T  Q,P,Z
T  Q,Z,P
T  Q,Z,P
T  Q,Z,P
